,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
294,Demetrius Williams\WillDe03,BAL,WR,26,12,0,0,0,0,0,0,0,0,,0,17,8,142,17.75,1,20,31.2,24.2,,107,
295,Marcus Mason\MasoMa00,WAS,RB,25,10,0,0,0,0,0,0,32,127,3.97,0,7,6,58,9.67,0,19,27.5,21.5,,92,
296,Robert Royal\RoyaRo00,CLE,TE,30,13,11,0,0,0,0,0,0,0,,0,26,11,134,12.18,1,19,33.4,24.9,,50,
297,Jerramy Stevens\StevJe00,TAM,TE,30,16,8,0,0,0,0,0,0,0,,0,32,15,130,8.67,1,19,37.0,26.5,,51,
298,Jerheme Urban\UrbaJe00,ARI,WR,29,10,0,0,0,0,0,0,0,0,,0,29,18,186,10.33,0,19,39.6,27.6,,108,
299,Garrett Wolfe\WolfGa00,CHI,RB,25,8,0,0,0,0,0,0,22,120,5.45,1,3,2,12,6.00,0,19,24.2,20.2,,90,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
300,Jason Wright\WrigJa01,ARI,RB,27,16,0,0,0,0,0,0,3,17,5.67,0,11,9,53,5.89,2,19,28.0,23.5,,91,
301,Todd Yoder\YodeTo00,WAS,TE,31,16,1,0,0,0,0,0,0,0,,0,5,4,9,2.25,3,19,22.9,20.9,,52,
302,Deon Butler\ButlDe00,SEA,WR,23,16,0,0,0,0,0,0,0,0,,0,42,15,175,11.67,0,18,35.5,25.0,,111,
303,Jeff Dugan\DugaJe00,MIN,TE,28,16,4,0,0,0,0,0,3,7,2.33,0,6,6,52,8.67,2,18,23.9,20.9,,54,
304,Jerome Felton\FeltJe00,DET,RB,23,13,8,0,0,0,0,0,15,46,3.07,0,17,13,133,10.23,0,18,33.9,24.4,,95,
305,Earnest Graham\GrahEa00,TAM,RB,29,13,6,0,0,0,0,0,14,66,4.71,0,22,14,109,7.79,0,18,34.5,24.5,,96,
306,Justin Griffith\GrifJu00,SEA,RB,29,13,11,0,0,0,0,0,4,6,1.50,0,26,19,118,6.21,1,18,39.9,26.9,,94,
307,Mike Hart\HartMi00,IND,RB,23,9,0,0,0,0,0,0,26,70,2.69,1,8,5,54,10.80,0,18,23.4,20.9,,93,
308,Sam Hurd\HurdSa00,DAL,WR,24,16,1,0,0,0,0,0,0,0,,0,12,7,121,17.29,1,18,28.1,21.6,,109,
309,Lance Long\LongLa00,2TM,WR,24,8,1,0,0,0,0,0,1,-1,-1.00,0,38,20,178,8.90,0,18,40.2,26.7,,110,
310,Ernest Wilford\WilfEr00,JAX,TE,30,15,7,0,0,0,0,0,0,0,,0,21,11,123,11.18,1,18,32.3,23.8,,53,
311,Brodie Croyle\CroyBr00,KAN,QB,26,3,1,23,40,230,2,0,0,0,,0,0,0,0,,0,17,16.7,16.2,,52,
